id,bus,stop,line,direction,bearing,datetime,estimateArrive,expectedArrival
-1758960349,SK20AZA,490008465L,25,2,248,2021-01-05 19:16:28.603222200,421,2021-01-05 19:23:29.000000000
-1378362884,SK20BCY,490008465L,25,2,248,2021-01-05 19:16:28.603222200,1383,2021-01-05 19:39:31.000000000
-955235065,BF67GKO,490005320E,18,1,136,2021-01-05 19:16:58.337601300,27,2021-01-05 19:17:25.000000000
1327545964,BF67GKP,490005320E,18,1,136,2021-01-05 19:16:58.337601300,1481,2021-01-05 19:41:39.000000000
525858254,BF67GKZ,490005320E,18,1,136,2021-01-05 19:16:58.337601300,1639,2021-01-05 19:44:17.000000000
429455221,BF67GNU,490005320E,18,1,136,2021-01-05 19:16:58.337601300,645,2021-01-05 19:27:43.000000000
583728112,LJ15JZD,490005320E,18,1,136,2021-01-05 19:16:58.337601300,489,2021-01-05 19:25:07.000000000
-1157795029,LJ16EWX,490005320E,18,1,136,2021-01-05 19:16:58.337601300,873,2021-01-05 19:31:31.000000000
-1795514440,BF67GKG,490000256H,18,2,251,2021-01-05 19:16:58.337601300,1011,2021-01-05 19:33:49.000000000
-897993831,BF67GKJ,490000256H,18,2,251,2021-01-05 19:16:58.337601300,674,2021-01-05 19:28:12.000000000
1100275061,BF67GLV,490000256H,18,2,251,2021-01-05 19:16:58.337601300,1769,2021-01-05 19:46:27.000000000
1100340597,BF67GMV,490000256H,18,2,251,2021-01-05 19:16:58.337601300,1549,2021-01-05 19:42:47.000000000
-898321511,BF67GNJ,490000256H,18,2,251,2021-01-05 19:16:58.337601300,951,2021-01-05 19:32:49.000000000
1765219592,LJ15JZA,490000256H,18,2,251,2021-01-05 19:16:58.337601300,199,2021-01-05 19:20:17.000000000
863826951,SK20BBJ,490003025W,25,2,219,2020-12-30 15:39:01.530876000,1087,2020-12-30 15:57:08.000000000
729241334,SK20BBO,490003025W,25,2,219,2020-12-30 15:39:01.530876000,833,2020-12-30 15:52:54.000000000
1294611731,SK20BCV,490003025W,25,2,219,2020-12-30 15:39:01.530876000,451,2020-12-30 15:46:32.000000000
-1566071827,SK20BCX,490003025W,25,2,219,2020-12-30 15:39:01.530876000,1512,2020-12-30 16:04:13.000000000
-1834455229,SK20BDF,490003025W,25,2,219,2020-12-30 15:39:01.530876000,98,2020-12-30 15:40:39.000000000
855691725,BF67GKO,490015040W,18,1,74,2021-01-05 19:16:58.245721700,469,2021-01-05 19:24:47.000000000
-309828673,BF67GNU,490015040W,18,1,74,2021-01-05 19:16:58.245721700,1096,2021-01-05 19:35:14.000000000
-690327750,LJ15JZD,490015040W,18,1,74,2021-01-05 19:16:58.245721700,890,2021-01-05 19:31:48.000000000
1324214241,LJ16EWX,490015040W,18,1,74,2021-01-05 19:16:58.245721700,1422,2021-01-05 19:40:40.000000000
-771792401,LJ66TRZ,490015040W,18,1,74,2021-01-05 19:16:58.245721700,300,2021-01-05 19:21:58.000000000
1547474096,SK20AYM,490014269E,25,1,62,2021-01-05 19:15:58.341068500,254,2021-01-05 19:20:12.000000000
830859741,SK20AYN,490014269E,25,1,62,2021-01-05 19:15:58.341068500,1102,2021-01-05 19:34:20.000000000
-1896292439,SK20AZJ,490014269E,25,1,62,2021-01-05 19:15:58.341068500,1581,2021-01-05 19:42:19.000000000
-170197416,SK20AYB,490008467F,25,1,61,2021-01-05 19:16:58.728132700,296,2021-01-05 19:21:54.000000000
230772905,SK20AYM,490008467F,25,1,61,2021-01-05 19:16:58.728132700,1349,2021-01-05 19:39:27.000000000
1510220658,SK20AYP,490008467F,25,1,61,2021-01-05 19:16:58.728132700,650,2021-01-05 19:27:48.000000000
-974341578,SK20AZD,490008467F,25,1,61,2021-01-05 19:16:58.728132700,854,2021-01-05 19:31:12.000000000
-2009466744,SK20AXX,490013541A,25,2,249,2020-12-30 15:39:04.713676900,717,2020-12-30 15:51:01.000000000
1788833063,SK20AYY,490013541A,25,2,249,2020-12-30 15:39:04.713676900,356,2020-12-30 15:45:00.000000000
1741909627,SK20BCV,490013541A,25,2,249,2020-12-30 15:39:04.713676900,1732,2020-12-30 16:07:56.000000000
-1202637781,SK20BDF,490013541A,25,2,249,2020-12-30 15:39:04.713676900,1301,2020-12-30 16:00:45.000000000
-449047597,SK20AYU,490004815S,25,2,217,2021-01-05 19:16:58.365320100,486,2021-01-05 19:25:04.000000000
-667823589,SK20BBF,490004815S,25,2,217,2021-01-05 19:16:58.365320100,1711,2021-01-05 19:45:29.000000000
213076475,SK20AYM,490008603E,25,1,73,2021-01-05 19:16:58.821884200,674,2021-01-05 19:28:12.000000000
1628058774,SK20AYN,490008603E,25,1,73,2021-01-05 19:16:58.821884200,1512,2021-01-05 19:42:10.000000000
-996236444,SK20AZD,490008603E,25,1,73,2021-01-05 19:16:58.821884200,241,2021-01-05 19:20:59.000000000
-1017366582,SK20AZA,490006856E,25,1,62,2021-01-05 11:21:54.709956300,69,2021-01-05 11:23:03.000000000
-106722539,SK20BCY,490006856E,25,1,62,2021-01-05 11:21:54.709956300,1374,2021-01-05 11:44:48.000000000
-1813231202,SK20AYJ,490018832E,25,1,52,2021-01-05 19:16:28.452920900,725,2021-01-05 19:28:33.000000000
869388994,SK20AZF,490018832E,25,1,52,2021-01-05 19:16:28.452920900,1764,2021-01-05 19:45:52.000000000
1584014334,BF67GKG,490010332K,18,2,309,2021-01-05 19:16:58.514007600,648,2021-01-05 19:27:46.000000000
15273951,BF67GKJ,490010332K,18,2,309,2021-01-05 19:16:58.514007600,185,2021-01-05 19:20:03.000000000
-1962647245,BF67GLV,490010332K,18,2,309,2021-01-05 19:16:58.514007600,1222,2021-01-05 19:37:20.000000000
-1962581709,BF67GMV,490010332K,18,2,309,2021-01-05 19:16:58.514007600,1049,2021-01-05 19:34:27.000000000
14946271,BF67GNJ,490010332K,18,2,309,2021-01-05 19:16:58.514007600,460,2021-01-05 19:24:38.000000000
-1773544885,BF67GNN,490010332K,18,2,309,2021-01-05 19:16:58.514007600,1508,2021-01-05 19:42:06.000000000
64883201,BF67GKE,490010337D,18,1,153,2021-01-05 19:16:58.493529800,801,2021-01-05 19:30:19.000000000
-1156334136,BF67GKP,490010337D,18,1,153,2021-01-05 19:16:58.493529800,5,2021-01-05 19:17:03.000000000
-345704854,BF67GKZ,490010337D,18,1,153,2021-01-05 19:16:58.493529800,165,2021-01-05 19:19:43.000000000
1685554943,LJ16EWH,490010337D,18,1,153,2021-01-05 19:16:58.493529800,1222,2021-01-05 19:37:20.000000000
462109062,LJ16EWU,490010337D,18,1,153,2021-01-05 19:16:58.493529800,1654,2021-01-05 19:44:32.000000000
426713231,BF67GKE,490012848E,18,1,76,2021-01-05 19:16:58.476634000,1048,2021-01-05 19:34:26.000000000
-1583179962,BF67GKP,490012848E,18,1,76,2021-01-05 19:16:58.476634000,232,2021-01-05 19:20:50.000000000
-237642524,BF67GKZ,490012848E,18,1,76,2021-01-05 19:16:58.476634000,402,2021-01-05 19:23:40.000000000
2126949489,LJ16EWH,490012848E,18,1,76,2021-01-05 19:16:58.476634000,1479,2021-01-05 19:41:37.000000000
-146694803,BF67GKE,490014076E,18,1,124,2021-01-05 19:16:58.664850400,1662,2021-01-05 19:44:40.000000000
1334586020,BF67GKP,490014076E,18,1,124,2021-01-05 19:16:58.664850400,825,2021-01-05 19:30:43.000000000
536568070,BF67GKZ,490014076E,18,1,124,2021-01-05 19:16:58.664850400,938,2021-01-05 19:32:36.000000000
-1169037341,LJ16EWX,490014076E,18,1,124,2021-01-05 19:16:58.664850400,301,2021-01-05 19:21:59.000000000
-114820581,BF67GKO,490014250E,18,1,126,2021-01-05 19:16:58.505937900,188,2021-01-05 19:20:06.000000000
1897333104,BF67GKP,490014250E,18,1,126,2021-01-05 19:16:58.505937900,1655,2021-01-05 19:44:33.000000000
559958738,BF67GKZ,490014250E,18,1,126,2021-01-05 19:16:58.505937900,1802,2021-01-05 19:47:00.000000000
665798761,BF67GNU,490014250E,18,1,126,2021-01-05 19:16:58.505937900,873,2021-01-05 19:31:31.000000000
486360300,LJ15JZD,490014250E,18,1,126,2021-01-05 19:16:58.505937900,476,2021-01-05 19:24:54.000000000
-2067084233,LJ16EWX,490014250E,18,1,126,2021-01-05 19:16:58.505937900,1030,2021-01-05 19:34:08.000000000
452414756,BF67GKN,490013054W,18,2,306,2021-01-05 19:16:58.774218500,677,2021-01-05 19:28:15.000000000
-1940678480,BF67GLJ,490013054W,18,2,306,2021-01-05 19:16:58.774218500,1035,2021-01-05 19:34:13.000000000
451956004,BF67GNN,490013054W,18,2,306,2021-01-05 19:16:58.774218500,142,2021-01-05 19:19:20.000000000
417617403,LJ16EWF,490013054W,18,2,306,2021-01-05 19:16:58.774218500,1063,2021-01-05 19:34:41.000000000
-227599797,LJ16EWV,490013054W,18,2,306,2021-01-05 19:16:58.774218500,505,2021-01-05 19:25:23.000000000
2131610815,LJ16EWZ,490013054W,18,2,306,2021-01-05 19:16:58.774218500,1395,2021-01-05 19:40:13.000000000
-1255747440,LJ66TSO,490013054W,18,2,306,2021-01-05 19:16:58.774218500,1791,2021-01-05 19:46:49.000000000
1817300345,SK20AYJ,490000220E1,25,1,68,2021-01-05 19:15:58.589791500,1022,2021-01-05 19:33:00.000000000
-59663730,SK20BCX,490000220E1,25,1,68,2021-01-05 19:15:58.589791500,345,2021-01-05 19:21:43.000000000
-864135648,SK20BDF,490000220E1,25,1,68,2021-01-05 19:15:58.589791500,145,2021-01-05 19:18:23.000000000
-1409044833,SK20AYU,490000029Z,25,2,239,2021-01-05 19:16:58.587281400,1116,2021-01-05 19:35:34.000000000
-1587698700,SK20AYX,490000029Z,25,2,239,2021-01-05 19:16:58.587281400,354,2021-01-05 19:22:52.000000000
-125530491,SK20AXT,490007341W,25,2,238,2021-01-05 19:16:28.995391600,51,2021-01-05 19:17:19.000000000
1442658850,SK20AYU,490007341W,25,2,238,2021-01-05 19:16:28.995391600,1341,2021-01-05 19:38:49.000000000
1487091529,SK20AYX,490007341W,25,2,238,2021-01-05 19:16:28.995391600,569,2021-01-05 19:25:57.000000000
-1220435526,SK20BDV,490007341W,25,2,238,2021-01-05 19:16:28.995391600,231,2021-01-05 19:20:19.000000000
-65253306,BF67GKE,490014387E2,18,1,100,2021-01-05 19:16:58.623374600,526,2021-01-05 19:25:44.000000000
-1304225966,BF67GMY,490014387E2,18,1,100,2021-01-05 19:16:58.623374600,1782,2021-01-05 19:46:40.000000000
-1682580296,LJ16EWH,490014387E2,18,1,100,2021-01-05 19:16:58.623374600,946,2021-01-05 19:32:44.000000000
-464952383,LJ16EWU,490014387E2,18,1,100,2021-01-05 19:16:58.623374600,1368,2021-01-05 19:39:46.000000000
243046834,SK20AYM,490006917F,25,1,78,2021-01-05 19:16:58.617798500,436,2021-01-05 19:24:14.000000000
