,line_id,direction,lon,lat,sequence
0,18,1,-0.315149,51.554619,0
1,18,1,-0.315134,51.55461,1
2,18,1,-0.314886,51.554291,2
3,18,1,-0.314536,51.553621,3
4,18,1,-0.313963,51.553127,4
5,18,1,-0.313419,51.55302,5
6,18,1,-0.312918,51.552527,6
7,18,1,-0.311421,51.552047,7
8,18,1,-0.308525,51.551556,8
9,18,1,-0.307064,51.55167,9
10,18,1,-0.305988,51.551906,10
11,18,1,-0.304559,51.551931,11
12,18,1,-0.30195,51.552288,12
13,18,1,-0.29945,51.552018,13
14,18,1,-0.298323,51.552065,14
15,18,1,-0.297626,51.55219,15
16,18,1,-0.293634,51.553643,16
17,18,1,-0.293271,51.553709,17
18,18,1,-0.291429,51.553575,18
19,18,1,-0.289391,51.553707,19
20,18,1,-0.286191,51.553256,20
21,18,1,-0.285113,51.552772,21
22,18,1,-0.283508,51.551346,22
23,18,1,-0.281314,51.54983,23
24,18,1,-0.27975,51.548872,24
25,18,1,-0.27571,51.547383,25
26,18,1,-0.274973,51.547039,26
27,18,1,-0.273761,51.546302,27
28,18,1,-0.272487,51.544898,28
29,18,1,-0.271813,51.544421,29
30,18,1,-0.270921,51.543598,30
31,18,1,-0.270232,51.543139,31
32,18,1,-0.26913,51.542916,32
33,18,1,-0.268368,51.542841,33
34,18,1,-0.262504,51.541172,34
35,18,1,-0.261497,51.541112,35
36,18,1,-0.260586,51.54118,36
37,18,1,-0.25851,51.541544,37
38,18,1,-0.254742,51.540526,38
39,18,1,-0.254258,51.540753,39
40,18,1,-0.254114,51.540733,40
41,18,1,-0.253479,51.539986,41
42,18,1,-0.253198,51.539793,42
43,18,1,-0.250378,51.53887,43
44,18,1,-0.250049,51.53882,44
45,18,1,-0.249153,51.538861,45
46,18,1,-0.247954,51.537799,46
47,18,1,-0.246959,51.537407,47
48,18,1,-0.246198,51.536964,48
49,18,1,-0.245391,51.536196,49
50,18,1,-0.244933,51.5361,50
51,18,1,-0.239841,51.532786,51
52,18,1,-0.238889,51.532412,52
53,18,1,-0.237326,51.532209,53
54,18,1,-0.236355,51.53232,54
55,18,1,-0.234554,51.53268,55
56,18,1,-0.234009,51.532582,56
57,18,1,-0.231404,51.531364,57
58,18,1,-0.230466,51.531017,58
59,18,1,-0.229209,51.530711,59
60,18,1,-0.228346,51.530284,60
61,18,1,-0.227601,51.530156,61
62,18,1,-0.225467,51.53016,62
63,18,1,-0.223803,51.529964,63
64,18,1,-0.221636,51.52931,64
65,18,1,-0.218186,51.5287,65
66,18,1,-0.216904,51.528303,66
67,18,1,-0.21611,51.527958,67
68,18,1,-0.213945,51.527287,68
69,18,1,-0.212512,51.527058,69
70,18,1,-0.209337,51.526776,70
71,18,1,-0.205353,51.526176,71
72,18,1,-0.203194,51.525001,72
73,18,1,-0.201269,51.524099,73
74,18,1,-0.200628,51.5239,74
75,18,1,-0.194867,51.523029,75
76,18,1,-0.19399,51.522611,76
77,18,1,-0.193369,51.521918,77
78,18,1,-0.191165,51.520418,78
79,18,1,-0.190441,51.520128,79
80,18,1,-0.188998,51.519809,80
81,18,1,-0.18462,51.519724,81
82,18,1,-0.183186,51.51989,82
83,18,1,-0.182223,51.520181,83
84,18,1,-0.180666,51.520913,84
85,18,1,-0.180392,51.520917,85
86,18,1,-0.179078,51.520249,86
87,18,1,-0.172238,51.52008,87
88,18,1,-0.169845,51.520088,88
89,18,1,-0.166071,51.520748,89
90,18,1,-0.164984,51.520875,90
91,18,1,-0.152512,51.523098,91
92,18,1,-0.149158,51.523351,92
93,18,1,-0.144615,51.524107,93
94,18,1,-0.142818,51.523997,94
95,18,1,-0.141918,51.524145,95
96,18,1,-0.137076,51.525507,96
97,18,1,-0.135537,51.52577,97
98,18,1,-0.135187,51.525873,98
99,18,1,-0.134821,51.526002,99
100,18,1,-0.134631,51.526062,100
101,18,1,-0.133652,51.526388,101
102,18,1,-0.132366,51.526817,102
103,18,2,-0.131941,51.527691,0
104,18,2,-0.131663,51.527795,1
105,18,2,-0.131502,51.527846,2
106,18,2,-0.131386,51.527862,3
107,18,2,-0.130201,51.528293,4
108,18,2,-0.129661,51.527736,5
109,18,2,-0.132049,51.526812,6
110,18,2,-0.135308,51.525731,7
111,18,2,-0.135838,51.52546,8
112,18,2,-0.13652,51.525363,9
113,18,2,-0.137427,51.525027,10
114,18,2,-0.140105,51.524404,11
115,18,2,-0.142879,51.523899,12
116,18,2,-0.144633,51.524008,13
117,18,2,-0.148931,51.523267,14
118,18,2,-0.152459,51.522989,15
119,18,2,-0.161099,51.521417,16
120,18,2,-0.16715,51.520441,17
121,18,2,-0.167633,51.520251,18
122,18,2,-0.169146,51.519915,19
123,18,2,-0.170029,51.519821,20
124,18,2,-0.176786,51.519899,21
125,18,2,-0.177563,51.519578,22
126,18,2,-0.177765,51.519573,23
127,18,2,-0.178956,51.520049,24
128,18,2,-0.179834,51.520099,25
129,18,2,-0.1807,51.520059,26
130,18,2,-0.183455,51.519661,27
131,18,2,-0.185464,51.519503,28
132,18,2,-0.189108,51.519595,29
133,18,2,-0.190249,51.519892,30
134,18,2,-0.191646,51.520651,31
135,18,2,-0.191629,51.520722,32
136,18,2,-0.192797,51.521442,33
137,18,2,-0.192766,51.521495,34
138,18,2,-0.193369,51.521918,35
139,18,2,-0.19399,51.522611,36
140,18,2,-0.194867,51.523029,37
141,18,2,-0.200628,51.5239,38
142,18,2,-0.201269,51.524099,39
143,18,2,-0.203194,51.525001,40
144,18,2,-0.205353,51.526176,41
145,18,2,-0.209337,51.526776,42
146,18,2,-0.212512,51.527058,43
147,18,2,-0.213945,51.527287,44
148,18,2,-0.21611,51.527958,45
149,18,2,-0.216904,51.528303,46
150,18,2,-0.218186,51.5287,47
151,18,2,-0.221636,51.52931,48
152,18,2,-0.223803,51.529964,49
153,18,2,-0.225467,51.53016,50
154,18,2,-0.227601,51.530156,51
155,18,2,-0.228346,51.530284,52
156,18,2,-0.229209,51.530711,53
157,18,2,-0.230466,51.531017,54
158,18,2,-0.231404,51.531364,55
159,18,2,-0.234009,51.532582,56
160,18,2,-0.234554,51.53268,57
161,18,2,-0.236355,51.53232,58
162,18,2,-0.237326,51.532209,59
163,18,2,-0.238889,51.532412,60
164,18,2,-0.239841,51.532786,61
165,18,2,-0.244778,51.536007,62
166,18,2,-0.245235,51.536113,63
167,18,2,-0.245887,51.536042,64
168,18,2,-0.246747,51.535803,65
