line,datetime,dim,m_dist,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89
132,2021-01-05 20:05:05.694527,4,3.19074,2,4837,4825,4829,8298,4828,0,0,0,0,685,159,636,580,0,0,0,0
132,2021-01-05 20:04:14.454689,4,3.27104,2,4837,4825,4829,8298,4828,0,0,0,0,707,161,623,593,0,0,0,0
132,2021-01-05 20:05:05.694527,4,3.19074,2,4837,4825,4829,8298,4828,0,0,0,0,685,159,636,580,0,0,0,0
132,2021-01-05 20:04:14.454689,4,3.27104,2,4837,4825,4829,8298,4828,0,0,0,0,707,161,623,593,0,0,0,0
132,2021-01-05 20:05:05.694527,4,3.19074,2,4837,4825,4829,8298,4828,0,0,0,0,685,159,636,580,0,0,0,0
132,2021-01-05 20:04:14.454689,4,3.27104,2,4837,4825,4829,8298,4828,0,0,0,0,707,161,623,593,0,0,0,0
132,2021-01-05 20:10:05.699474,4,3.53106,2,4831,4832,4839,4826,4836,0,0,0,0,550,263,212,921,0,0,0,0
132,2021-01-05 20:09:15.545611,4,3.69832,2,4831,4832,4839,4826,4836,0,0,0,0,510,264,260,941,0,0,0,0
132,2021-01-05 20:10:05.699474,3,2.93,2,4832,4839,4826,4836,0,0,0,0,0,263,212,921,0,0,0,0,0
132,2021-01-05 20:09:15.545611,3,3.08786,2,4832,4839,4826,4836,0,0,0,0,0,264,260,941,0,0,0,0,0
132,2021-01-05 20:10:05.699474,4,3.53106,2,4831,4832,4839,4826,4836,0,0,0,0,550,263,212,921,0,0,0,0
132,2021-01-05 20:09:15.545611,4,3.69832,2,4831,4832,4839,4826,4836,0,0,0,0,510,264,260,941,0,0,0,0
132,2021-01-05 20:10:54.264791,4,3.50287,3,4831,4832,4839,4826,4836,0,0,0,0,522,252,216,925,0,0,0,0
132,2021-01-05 20:10:05.699474,4,3.53106,3,4831,4832,4839,4826,4836,0,0,0,0,550,263,212,921,0,0,0,0
132,2021-01-05 20:09:15.545611,4,3.69832,3,4831,4832,4839,4826,4836,0,0,0,0,510,264,260,941,0,0,0,0
