line,destination,stop,bus,datetime,estimateArrive,DistanceBus
132,MONCLOA,1509,4825,2021-01-19 21:24:14.133618,644,2362
132,MONCLOA,1509,4837,2021-01-19 21:24:14.133618,1357,5636
132,HOSPITAL LA PAZ,1786,4828,2021-01-19 21:24:18.920340,627,1684
132,HOSPITAL LA PAZ,1786,8293,2021-01-19 21:24:18.920340,1269,4561
132,HOSPITAL LA PAZ,1373,4837,2021-01-19 21:24:19.040723,360,1472
132,HOSPITAL LA PAZ,1373,4728,2021-01-19 21:24:19.040723,415,1354
44,CALLAO,2393,5651,2021-01-19 21:24:15.447227,887,3310
44,CALLAO,2393,5661,2021-01-19 21:24:15.447227,1707,4213
132,MONCLOA,1515,4818,2021-01-19 21:24:14.033528,139,442
132,MONCLOA,1515,4825,2021-01-19 21:24:14.033528,813,2945
132,HOSPITAL LA PAZ,1645,8293,2021-01-19 21:24:18.653968,358,1795
132,HOSPITAL LA PAZ,1645,4839,2021-01-19 21:24:18.653968,879,5139
44,CALLAO,1669,5651,2021-01-19 21:24:19.052663,536,2135
44,CALLAO,1669,5661,2021-01-19 21:24:19.052663,1386,3090
132,MONCLOA,1646,4818,2021-01-19 21:24:17.544073,568,2199
132,MONCLOA,1646,4825,2021-01-19 21:24:17.544073,1266,4827
132,MONCLOA,93,4825,2021-01-19 21:24:18.160852,281,1257
132,MONCLOA,93,4837,2021-01-19 21:24:18.160852,1004,4384
133,MIRASIERRA,5382,4690,2021-01-19 21:24:14.134144,582,3175
133,MIRASIERRA,5382,4686,2021-01-19 21:24:14.134144,955,8066
132,MONCLOA,4643,4818,2021-01-19 21:24:18.333864,384,1337
132,MONCLOA,4643,4825,2021-01-19 21:24:18.333864,1108,3943
82,MONCLOA,1721,4706,2021-01-19 21:24:16.563625,408,2285
82,MONCLOA,1721,4718,2021-01-19 21:24:16.563625,898,3747
82,MONCLOA,1727,4706,2021-01-19 21:24:13.344552,275,1478
82,MONCLOA,1727,4718,2021-01-19 21:24:13.344552,763,3016
44,MARQUES DE VIANA,4816,5654,2021-01-19 21:24:18.167868,11,58
44,MARQUES DE VIANA,4816,5659,2021-01-19 21:24:18.167868,922,1955
1,CRISTO REY,4816,8322,2021-01-19 21:24:18.167868,1324,4139
82,MONCLOA,1731,4706,2021-01-19 21:24:18.013824,152,848
82,MONCLOA,1731,4718,2021-01-19 21:24:18.013824,659,2254
44,CALLAO,3682,5661,2021-01-19 21:24:17.562381,729,594
44,CALLAO,3682,5657,2021-01-19 21:24:17.562381,1690,3852
1,PROSPERIDAD,717,5450,2021-01-19 21:24:17.230802,941,3407
132,HOSPITAL LA PAZ,5140,4839,2021-01-19 21:24:18.091974,413,2711
132,HOSPITAL LA PAZ,5140,4687,2021-01-19 21:24:18.091974,1006,4533
133,MIRASIERRA,1338,5490,2021-01-19 21:24:13.539189,294,2646
82,MONCLOA,1725,4706,2021-01-19 21:24:18.528541,292,1603
82,MONCLOA,1725,4718,2021-01-19 21:24:18.528541,799,2978
133,CALLAO,1342,4693,2021-01-19 21:24:16.888258,333,3554
133,CALLAO,1342,4704,2021-01-19 21:24:16.888258,741,6005
132,MONCLOA,3286,4826,2021-01-19 21:24:16.715174,176,677
132,MONCLOA,3286,4818,2021-01-19 21:24:16.715174,862,3353
