line,destination,stop,bus,datetime,estimateArrive
44,MARQUES DE VIANA,1668,5656,2021-03-17 13:52:36.292912,642
44,MARQUES DE VIANA,1668,5652,2021-03-17 13:52:36.292912,1036
133,MIRASIERRA,1359,4701,2021-03-17 13:52:36.293144,89
133,MIRASIERRA,1359,4693,2021-03-17 13:52:36.293144,207
1,PROSPERIDAD,717,8294,2021-03-17 13:52:36.295269,1347
1,PROSPERIDAD,717,116,2021-03-17 13:52:36.295269,606
132,HOSPITAL LA PAZ,1651,4829,2021-03-17 13:52:36.295434,132
132,HOSPITAL LA PAZ,1651,8313,2021-03-17 13:52:36.295434,61
82,PITIS,1726,4706,2021-03-17 13:52:36.295554,15
82,PITIS,1726,4721,2021-03-17 13:52:36.295554,760
44,MARQUES DE VIANA,1676,5660,2021-03-17 13:52:36.332594,20
44,MARQUES DE VIANA,1676,5661,2021-03-17 13:52:36.332594,199
132,MONCLOA,1602,4832,2021-03-17 13:52:36.335051,262
132,MONCLOA,1602,4827,2021-03-17 13:52:36.335051,683
132,MONCLOA,3284,8329,2021-03-17 13:52:36.337214,213
132,MONCLOA,3284,4826,2021-03-17 13:52:36.337214,45
133,MIRASIERRA,3294,4693,2021-03-17 13:52:36.337350,642
133,MIRASIERRA,3294,4701,2021-03-17 13:52:36.337350,618
133,CALLAO,1357,4695,2021-03-17 13:52:36.340093,77
133,CALLAO,1357,4687,2021-03-17 13:52:36.340093,548
82,PITIS,1693,4656,2021-03-17 13:52:36.340562,786
82,PITIS,1693,4705,2021-03-17 13:52:36.340562,443
1,PROSPERIDAD,425,4720,2021-03-17 13:52:36.340976,771
1,PROSPERIDAD,425,8294,2021-03-17 13:52:36.340976,249
132,HOSPITAL LA PAZ,1368,4737,2021-03-17 13:52:36.343586,20
132,HOSPITAL LA PAZ,1368,8313,2021-03-17 13:52:36.343586,875
1,PROSPERIDAD,173,124,2021-03-17 13:52:36.343945,449
133,CALLAO,173,4724,2021-03-17 13:52:36.343945,956
133,CALLAO,173,4692,2021-03-17 13:52:36.343945,138
44,CALLAO,173,5653,2021-03-17 13:52:36.343945,185
1,PROSPERIDAD,173,122,2021-03-17 13:52:36.343945,414
44,CALLAO,173,8299,2021-03-17 13:52:36.343945,520
1,CRISTO REY,5137,117,2021-03-17 13:52:36.344438,617
1,CRISTO REY,5137,121,2021-03-17 13:52:36.344438,1217
44,CALLAO,2393,5659,2021-03-17 13:52:36.344440,264
44,CALLAO,2393,5655,2021-03-17 13:52:36.344440,913
1,CRISTO REY,722,119,2021-03-17 13:52:36.345728,410
1,CRISTO REY,722,118,2021-03-17 13:52:36.345728,1147
133,MIRASIERRA,1349,4685,2021-03-17 13:52:36.345876,615
133,MIRASIERRA,1349,4683,2021-03-17 13:52:36.345876,429
133,MIRASIERRA,1334,4685,2021-03-17 13:52:36.345915,159
133,MIRASIERRA,1334,4835,2021-03-17 13:52:36.345915,419
1,CRISTO REY,9,117,2021-03-17 13:52:36.347023,800
132,MONCLOA,1675,8329,2021-03-17 13:52:36.348386,126
132,MONCLOA,1675,4824,2021-03-17 13:52:36.348386,667
82,PITIS,1635,4721,2021-03-17 13:52:36.348428,832
82,PITIS,1635,4706,2021-03-17 13:52:36.348428,75
133,MIRASIERRA,1616,4693,2021-03-17 13:52:36.348726,311
133,MIRASIERRA,1616,4701,2021-03-17 13:52:36.348726,217
44,MARQUES DE VIANA,2400,5656,2021-03-17 13:52:36.348751,901
44,MARQUES DE VIANA,2400,5661,2021-03-17 13:52:36.348751,34
1,PROSPERIDAD,423,8294,2021-03-17 13:52:36.349285,84
1,PROSPERIDAD,423,4720,2021-03-17 13:52:36.349285,606
132,HOSPITAL LA PAZ,1645,8314,2021-03-17 13:52:36.349334,745
132,HOSPITAL LA PAZ,1366,4829,2021-03-17 13:52:36.349450,759
132,HOSPITAL LA PAZ,1366,8313,2021-03-17 13:52:36.349450,715
133,CALLAO,23,4724,2021-03-17 13:52:36.349904,390
133,CALLAO,23,5475,2021-03-17 13:52:36.349904,231
44,CALLAO,3895,5660,2021-03-17 13:52:36.350297,177
44,CALLAO,3895,5661,2021-03-17 13:52:36.350297,622
44,MARQUES DE VIANA,1670,5656,2021-03-17 13:52:36.350575,665
44,MARQUES DE VIANA,1670,5652,2021-03-17 13:52:36.350575,1086
44,CALLAO,3682,5660,2021-03-17 13:52:36.350675,218
44,CALLAO,3682,5661,2021-03-17 13:52:36.350675,663
133,CALLAO,1348,4695,2021-03-17 13:52:36.351701,509
133,CALLAO,1348,4724,2021-03-17 13:52:36.351701,89
132,MONCLOA,1367,4719,2021-03-17 13:52:36.351778,385
1,PROSPERIDAD,735,124,2021-03-17 13:52:36.352179,247
1,PROSPERIDAD,735,122,2021-03-17 13:52:36.352179,225
133,CALLAO,735,5475,2021-03-17 13:52:36.352179,755
44,CALLAO,735,8299,2021-03-17 13:52:36.352179,309
82,MONCLOA,1710,4655,2021-03-17 13:52:36.352719,372
82,MONCLOA,1710,4718,2021-03-17 13:52:36.352719,693
82,MONCLOA,1706,4655,2021-03-17 13:52:36.352955,517
82,MONCLOA,1706,4718,2021-03-17 13:52:36.352955,858
1,PROSPERIDAD,169,124,2021-03-17 13:52:36.354130,891
1,PROSPERIDAD,169,122,2021-03-17 13:52:36.354130,856
132,HOSPITAL LA PAZ,1329,8312,2021-03-17 13:52:36.354174,263
82,PITIS,1329,4656,2021-03-17 13:52:36.354174,83
132,HOSPITAL LA PAZ,1329,8310,2021-03-17 13:52:36.354174,683
82,PITIS,1329,4723,2021-03-17 13:52:36.354174,503
133,CALLAO,740,4724,2021-03-17 13:52:36.355227,614
133,CALLAO,740,5475,2021-03-17 13:52:36.355227,571
132,HOSPITAL LA PAZ,1689,4830,2021-03-17 13:52:36.355325,15
82,PITIS,1689,4656,2021-03-17 13:52:36.355325,653
132,HOSPITAL LA PAZ,1689,4831,2021-03-17 13:52:36.355325,434
82,PITIS,1689,4705,2021-03-17 13:52:36.355325,294
1,PROSPERIDAD,723,122,2021-03-17 13:52:36.356102,1006
1,PROSPERIDAD,723,124,2021-03-17 13:52:36.356102,1020
1,CRISTO REY,69,117,2021-03-17 13:52:36.356333,415
1,CRISTO REY,69,121,2021-03-17 13:52:36.356333,1015
44,MARQUES DE VIANA,2396,5656,2021-03-17 13:52:36.356340,788
44,MARQUES DE VIANA,2396,5652,2021-03-17 13:52:36.356340,1192
82,MONCLOA,1729,4718,2021-03-17 13:52:36.357365,139
82,MONCLOA,1729,4713,2021-03-17 13:52:36.357365,501
1,PROSPERIDAD,731,8294,2021-03-17 13:52:36.357506,541
1,PROSPERIDAD,731,4720,2021-03-17 13:52:36.357506,1012
1,PROSPERIDAD,162,4720,2021-03-17 13:52:36.357506,492
82,PITIS,4282,4710,2021-03-17 13:52:36.357909,61
82,PITIS,4282,4733,2021-03-17 13:52:36.357909,103
82,MONCLOA,1698,4717,2021-03-17 13:52:36.357924,11
82,MONCLOA,1698,4711,2021-03-17 13:52:36.357924,5
82,MONCLOA,1723,4713,2021-03-17 13:52:36.358304,633
82,MONCLOA,1723,4718,2021-03-17 13:52:36.358304,260
133,CALLAO,1335,4724,2021-03-17 13:52:36.358970,401
133,CALLAO,1335,5475,2021-03-17 13:52:36.358970,286
44,CALLAO,2397,5660,2021-03-17 13:52:36.636514,690
44,CALLAO,2397,5655,2021-03-17 13:52:36.636514,285
82,MONCLOA,1715,4718,2021-03-17 13:52:36.672153,487
82,MONCLOA,1715,4655,2021-03-17 13:52:36.672153,98
82,MONCLOA,5716,4655,2021-03-17 13:52:36.709246,415
82,MONCLOA,5716,4718,2021-03-17 13:52:36.709246,790
133,CALLAO,5652,4687,2021-03-17 13:52:36.720366,794
133,CALLAO,5652,4695,2021-03-17 13:52:36.720366,333
132,HOSPITAL LA PAZ,1647,8314,2021-03-17 13:52:36.770228,783
1,CRISTO REY,452,121,2021-03-17 13:52:36.806477,839
1,CRISTO REY,452,117,2021-03-17 13:52:36.806477,174
82,MONCLOA,5370,4711,2021-03-17 13:52:36.817287,32
82,MONCLOA,5370,4717,2021-03-17 13:52:36.817287,39
82,MONCLOA,3047,4717,2021-03-17 13:52:36.857246,759
132,MONCLOA,3047,4703,2021-03-17 13:52:36.857246,452
44,CALLAO,5098,5660,2021-03-17 13:52:36.859436,965
44,CALLAO,5098,5655,2021-03-17 13:52:36.859436,578
133,MIRASIERRA,1347,4685,2021-03-17 13:52:36.882306,593
133,MIRASIERRA,1347,4683,2021-03-17 13:52:36.882306,385
82,MONCLOA,1713,4718,2021-03-17 13:52:36.886764,471
82,MONCLOA,1713,4655,2021-03-17 13:52:36.886764,130
132,HOSPITAL LA PAZ,1370,8313,2021-03-17 13:52:36.886830,994
132,HOSPITAL LA PAZ,1370,4737,2021-03-17 13:52:36.886830,133
133,MIRASIERRA,1332,4835,2021-03-17 13:52:36.887196,382
133,MIRASIERRA,1332,4685,2021-03-17 13:52:36.887196,129
132,HOSPITAL LA PAZ,3283,8314,2021-03-17 13:52:36.887305,248
132,HOSPITAL LA PAZ,3283,4830,2021-03-17 13:52:36.887305,677
133,CALLAO,1749,4689,2021-03-17 13:52:36.887454,142
133,CALLAO,1749,4698,2021-03-17 13:52:36.887454,503
44,CALLAO,3687,5659,2021-03-17 13:52:36.906703,683
44,CALLAO,3687,8299,2021-03-17 13:52:36.906703,149
1,PROSPERIDAD,3687,122,2021-03-17 13:52:36.906703,28
1,PROSPERIDAD,3687,124,2021-03-17 13:52:36.906703,33
82,PITIS,1722,4721,2021-03-17 13:52:36.918976,660
82,PITIS,1722,4722,2021-03-17 13:52:36.918976,758
133,CALLAO,1342,5475,2021-03-17 13:52:36.918978,110
133,CALLAO,1342,4724,2021-03-17 13:52:36.918978,289
1,PROSPERIDAD,745,118,2021-03-17 13:52:36.933216,51
1,PROSPERIDAD,745,116,2021-03-17 13:52:36.933216,820
132,MONCLOA,1578,8329,2021-03-17 13:52:36.944787,59
132,MONCLOA,1578,4824,2021-03-17 13:52:36.944787,599
44,CALLAO,5139,5653,2021-03-17 13:52:36.945128,518
133,CALLAO,5139,4699,2021-03-17 13:52:36.945128,74
44,CALLAO,5139,8299,2021-03-17 13:52:36.945128,856
132,MONCLOA,1685,8329,2021-03-17 13:52:36.955532,725
82,MONCLOA,1685,4717,2021-03-17 13:52:36.955532,346
132,MONCLOA,1685,4826,2021-03-17 13:52:36.955532,562
82,MONCLOA,1685,4711,2021-03-17 13:52:36.955532,364
1,CRISTO REY,273,118,2021-03-17 13:52:36.956048,743
133,CALLAO,3228,4689,2021-03-17 13:52:36.956085,361
133,CALLAO,3228,4687,2021-03-17 13:52:36.956085,73
