datetime,line,direction,busA,busB,hw_pos,headway,busB_ttls
2021-01-05 20:17:33.803219,1,1,0,8325,0,0,1026
2021-01-05 20:17:33.803219,1,1,8325,5454,1,522,1549
2021-01-05 20:17:33.803219,1,1,5454,5543,2,527,2077
2021-01-05 20:17:33.803219,1,2,0,8328,0,0,485
2021-01-05 20:17:33.803219,1,2,8328,121,1,1127,1612
2021-01-05 20:17:33.803219,1,2,121,5671,2,532,2145
2021-01-05 20:17:35.042589,44,1,0,5653,0,0,172
2021-01-05 20:17:35.042589,44,1,5653,5658,1,681,853
2021-01-05 20:17:35.042589,44,1,5658,5659,2,541,1394
2021-01-05 20:17:35.042589,44,2,0,5661,0,0,991
2021-01-05 20:17:36.014980,82,1,0,4709,0,0,231
2021-01-05 20:17:36.014980,82,1,4709,4822,1,159,390
2021-01-05 20:17:35.680368,132,1,0,4832,0,0,377
2021-01-05 20:17:35.680368,132,1,4832,4839,1,303,680
2021-01-05 20:17:35.680368,132,1,4839,4826,2,150,831
2021-01-05 20:17:35.680368,132,1,4826,4836,3,960,1791
2021-01-05 20:17:35.680368,132,2,0,4829,0,0,409
2021-01-05 20:17:35.680368,132,2,4829,8298,1,654,1063
2021-01-05 20:17:35.680368,132,2,8298,4828,2,414,1477
2021-01-05 20:17:35.680368,132,2,4828,4834,3,540,2018
2021-01-05 20:17:33.803437,133,1,0,4699,0,0,142
2021-01-05 20:17:33.803437,133,1,4699,4732,1,316,459
2021-01-05 20:17:33.803437,133,1,4732,4702,2,375,834
2021-01-05 20:17:33.803437,133,1,4702,4687,3,366,1201
2021-01-05 20:17:33.803437,133,1,4687,4683,4,116,1317
2021-01-05 20:17:33.803437,133,1,4683,4698,5,650,1967
2021-01-05 20:17:33.803437,133,2,0,4742,0,0,473
