line,datetime,dim,m_dist,anom,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89
132,2021-01-19 21:00:54.095857,1,0.93908,0,0,4837,4728,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0
132,2021-01-19 21:01:44.780115,1,1.17663,0,0,4837,4728,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0
132,2021-01-19 21:02:34.115132,1,1.25185,0,0,4837,4728,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0
132,2021-01-19 21:03:25.027432,1,1.11724,0,0,4837,4728,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0
132,2021-01-19 21:04:16.046033,1,1.34291,0,0,4837,4728,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0
132,2021-01-19 21:05:05.246044,1,1.40625,0,0,4837,4728,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0
132,2021-01-19 21:05:55.982948,1,1.31519,0,0,4837,4728,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0
132,2021-01-19 21:06:45.231389,1,0.35555,0,0,4835,4826,0,0,0,0,0,0,0,648,0,0,0,0,0,0,0
132,2021-01-19 21:06:45.231389,1,1.14099,0,0,4837,4728,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0
132,2021-01-19 21:07:33.568232,1,0.62081,0,0,4835,4826,0,0,0,0,0,0,0,715,0,0,0,0,0,0,0
132,2021-01-19 21:07:33.568232,1,0.99847,0,0,4837,4728,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0
133,2021-01-19 21:07:33.563160,1,0.85243,0,0,4699,4685,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0
132,2021-01-19 21:08:24.243324,1,0.54955,0,0,4835,4826,0,0,0,0,0,0,0,697,0,0,0,0,0,0,0
132,2021-01-19 21:08:24.243324,1,1.16475,0,0,4837,4728,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0
132,2021-01-19 21:08:24.243324,1,0.09183,0,0,4728,4828,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0
133,2021-01-19 21:08:23.613433,1,0.80766,0,0,4699,4685,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0
132,2021-01-19 21:08:24.243324,2,0.88624,0,0,4837,4728,4828,0,0,0,0,0,0,264,535,0,0,0,0,0,0
132,2021-01-19 21:09:15.415441,1,1.18454,0,0,4837,4728,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0
132,2021-01-19 21:09:15.415441,1,0.52975,0,0,4835,4826,0,0,0,0,0,0,0,692,0,0,0,0,0,0,0
132,2021-01-19 21:09:15.415441,1,0.18289,0,0,4728,4828,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0
133,2021-01-19 21:09:15.424442,1,0.91512,0,0,4699,4685,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0
132,2021-01-19 21:09:15.415441,2,0.95845,0,0,4837,4728,4828,0,0,0,0,0,0,259,512,0,0,0,0,0,0
132,2021-01-19 21:10:05.338557,1,1.12516,0,0,4837,4728,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0
132,2021-01-19 21:10:05.338557,1,0.6604,0,0,4835,4826,0,0,0,0,0,0,0,725,0,0,0,0,0,0,0
132,2021-01-19 21:10:05.338557,1,0.28978,0,0,4728,4828,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0
133,2021-01-19 21:10:05.064889,1,0.91512,0,0,4699,4685,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0
132,2021-01-19 21:10:05.338557,2,0.97362,0,0,4837,4728,4828,0,0,0,0,0,0,274,485,0,0,0,0,0,0
132,2021-01-19 21:10:55.158680,1,1.19246,0,0,4837,4728,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0
132,2021-01-19 21:10:55.158680,1,0.59706,0,0,4835,4826,0,0,0,0,0,0,0,709,0,0,0,0,0,0,0
132,2021-01-19 21:10:55.158680,1,0.30958,0,0,4728,4828,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0
133,2021-01-19 21:10:54.103905,1,0.80766,0,0,4699,4685,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0
132,2021-01-19 21:10:55.158680,2,1.05318,0,0,4837,4728,4828,0,0,0,0,0,0,257,480,0,0,0,0,0,0
132,2021-01-19 21:11:44.721873,1,1.34291,0,0,4837,4728,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0
132,2021-01-19 21:11:44.721873,1,0.65248,0,0,4835,4826,0,0,0,0,0,0,0,723,0,0,0,0,0,0,0
132,2021-01-19 21:11:44.721873,1,0.29374,0,0,4728,4828,0,0,0,0,0,0,0,484,0,0,0,0,0,0,0
133,2021-01-19 21:11:46.720598,1,0.90616,0,0,4699,4685,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0
132,2021-01-19 21:11:44.721873,2,1.18796,0,0,4837,4728,4828,0,0,0,0,0,0,219,484,0,0,0,0,0,0
132,2021-01-19 21:12:34.127754,1,0.51787,0,0,4835,4826,0,0,0,0,0,0,0,689,0,0,0,0,0,0,0
132,2021-01-19 21:12:34.127754,1,1.31519,0,0,4837,4728,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0
132,2021-01-19 21:12:34.127754,1,0.28583,0,0,4728,4828,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0
133,2021-01-19 21:12:35.452894,1,1.00467,0,0,4699,4685,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0
132,2021-01-19 21:12:34.127754,2,1.15536,0,0,4837,4728,4828,0,0,0,0,0,0,226,486,0,0,0,0,0,0
